yz	v1	rms_v1	v2	rms_v2
-0.975	0	0	0	0
-0.925	0	0	0	0
-0.875	0	0	0	0
-0.825	0	0	0	0
-0.775	0	0	0	0
-0.725	0.40191	0.08038	-0.67694	0.13539
-0.675	-0.32911	0.10801	-0.68004	0.19158
-0.625	-0.2011	0.22374	-0.04196	0.23587
-0.575	-0.16331	0.16142	0.01535	0.14012
-0.525	-0.37528	0.08685	0.13623	0.14173
-0.475	-0.25651	0.04468	0.0062	0.05053
-0.425	-0.24254	0.02617	-0.0295	0.03558
-0.375	-0.19508	0.01625	-0.04169	0.02375
-0.325	-0.21651	0.02221	0.02935	0.01156
-0.275	-0.1373	0.02322	0.0258	0.01401
-0.225	-0.09634	0.02293	-0.00399	0.01513
-0.175	-0.07031	0.01108	0.00244	0.01663
-0.125	-0.05196	0.02398	-0.00353	0.03459
-0.075	-0.05245	0.01929	0.00184	0.02721
-0.025	0.00515	0.03552	-0.00022	0.01949
0.025	0.00882	0.02799	-0.03476	0.01805
0.075	0.03067	0.01366	-0.02455	0.01896
0.125	0.11618	0.02665	-0.00163	0.02672
0.175	0.06155	0.0133	-0.00966	0.00824
0.225	0.1385	0.01756	-0.04033	0.01717
0.275	0.11603	0.01859	-0.02622	0.01383
0.325	0.14097	0.01303	-0.03319	0.01942
0.375	0.20436	0.03484	-0.03471	0.02558
0.425	0.20724	0.03789	-0.07561	0.03209
0.475	0.2384	0.10697	-0.01525	0.04666
0.525	0.05221	0.09234	-0.01528	0.10311
0.575	0.13294	0.24335	-0.30216	0.1553
0.625	-0.04914	0.19747	0.048	0.22806
0.675	0	0	0	0
0.725	0	0	0	0
0.775	0	0	0	0
0.825	0	0	0	0
0.875	0	0	0	0
0.925	0	0	0	0
0.975	0	0	0	0
