yz	v1	rms_v1	v2	rms_v2
-0.975	0	0	0	0
-0.925	0	0	0	0
-0.875	-0.13705	0.20824	-0.11767	0.11629
-0.825	0.04522	0.09342	-0.14586	0.16356
-0.775	-0.31887	0.21403	-0.19967	0.26194
-0.725	-0.24094	0.13634	-0.18948	0.16316
-0.675	-0.36994	0.13025	-0.02695	0.19112
-0.625	-0.17761	0.09254	-0.09667	0.06635
-0.575	-0.11194	0.03223	0.00782	0.07893
-0.525	-0.18644	0.04594	-0.00971	0.01547
-0.475	-0.18849	0.0486	0.00362	0.03432
-0.425	-0.18485	0.01205	0.01968	0.01769
-0.375	-0.1392	0.02935	-0.01291	0.03497
-0.325	-0.14045	0.02494	0.02149	0.03138
-0.275	-0.10101	0.0151	0.00051	0.01412
-0.225	-0.08842	0.02558	-0.02494	0.008
-0.175	-0.07669	0.01584	-0.00541	0.02014
-0.125	-0.0434	0.0154	0.00117	0.02243
-0.075	-0.03457	0.02395	-0.01389	0.01022
-0.025	-0.00309	0.01702	-0.01713	0.02677
0.025	0.011	0.01752	0.00693	0.019
0.075	0.04969	0.00423	0.01001	0.00596
0.125	0.0616	0.01408	-0.00085	0.0102
0.175	0.06049	0.00843	-0.0025	0.02523
0.225	0.08479	0.01523	-0.0215	0.02747
0.275	0.10238	0.01844	-0.04027	0.02671
0.325	0.13818	0.01694	-0.04808	0.01767
0.375	0.12867	0.01699	-0.02451	0.02674
0.425	0.17235	0.02556	-0.01316	0.03371
0.475	0.15675	0.02912	-0.01237	0.02409
0.525	0.11555	0.02261	-0.08053	0.02545
0.575	0.13742	0.05373	-0.08672	0.04247
0.625	0.01043	0.11576	-0.09388	0.13751
0.675	0.15534	0.09105	-0.05537	0.19639
0.725	-0.02334	0.1706	-0.06997	0.18092
0.775	-0.65674	0.24088	0.29119	0.36097
0.825	-0.99733	0.19947	0.98933	0.19787
0.875	0.91545	0.22534	0.68599	0.1867
0.925	0	0	0	0
0.975	0	0	0	0
