yz	v1	rms_v1	v2	rms_v2
-0.975	0	0	0	0
-0.925	0	0	0	0
-0.875	0	0	0	0
-0.825	0	0	0	0
-0.775	0	0	0	0
-0.725	0	0	0	0
-0.675	0	0	0	0
-0.625	0	0	0	0
-0.575	-0.65859	0.16141	0.01377	0.03418
-0.525	-0.81114	0.06075	0.35859	0.19302
-0.475	-0.19035	0.09696	-0.06207	0.08502
-0.425	-0.30737	0.09865	0.06534	0.05466
-0.375	-0.31391	0.01916	-0.04469	0.04256
-0.325	-0.17802	0.02378	-0.05284	0.03211
-0.275	-0.21229	0.03517	-0.02541	0.03842
-0.225	-0.11745	0.02699	-0.01393	0.01703
-0.175	-0.12124	0.01809	0.00317	0.01918
-0.125	-0.12155	0.03511	-0.04103	0.0432
-0.075	-0.01287	0.02893	-0.03412	0.0254
-0.025	0.02504	0.02677	-0.01794	0.01037
0.025	0.03044	0.02532	-0.05809	0.02786
0.075	0.13588	0.03358	0.01488	0.02794
0.125	0.07693	0.02465	-0.03134	0.0286
0.175	0.1167	0.01601	-0.02319	0.03179
0.225	0.18857	0.01517	0.00518	0.0377
0.275	0.16937	0.02146	-0.01536	0.02379
0.325	0.15614	0.03266	-0.02921	0.02144
0.375	0.24622	0.01309	-0.00205	0.03889
0.425	0.35341	0.0419	0.12576	0.06841
0.475	-0.04742	0.20924	0.07884	0.11579
0.525	0.52626	0.35845	0.61943	0.18059
0.575	0	0	0	0
0.625	0	0	0	0
0.675	0	0	0	0
0.725	0	0	0	0
0.775	0	0	0	0
0.825	0	0	0	0
0.875	0	0	0	0
0.925	0	0	0	0
0.975	0	0	0	0
