y/pt	v1	rms_v1	v2	rms_v2
-0.975	0	0	0	0
-0.925	0	0	0	0
-0.875	-0.270924	0.339074	-0.393315	0.430665
-0.825	-0.612707	0.151907	0.027729	0.235699
-0.775	-0.492296	0.116748	0.19348	0.145082
-0.725	-0.245122	0.067041	0.046026	0.067147
-0.675	-0.499141	0.026082	0.137713	0.031861
-0.625	-0.41573	0.015905	0.075269	0.018477
-0.575	-0.432061	0.009535	0.074676	0.011261
-0.525	-0.425236	0.006274	0.049752	0.00754
-0.475	-0.386762	0.004704	0.017815	0.005573
-0.425	-0.349748	0.00397	0.004729	0.004547
-0.375	-0.307436	0.003595	-0.024472	0.004057
-0.325	-0.275795	0.003415	-0.02637	0.003775
-0.275	-0.236722	0.003346	-0.033224	0.003614
-0.225	-0.191025	0.003273	-0.043083	0.003485
-0.175	-0.143114	0.003241	-0.050559	0.003392
-0.125	-0.106213	0.003225	-0.050233	0.003343
-0.075	-0.065244	0.003213	-0.045157	0.003299
-0.025	-0.028033	0.003209	-0.052811	0.003289
0.025	0.008566	0.003214	-0.058622	0.003304
0.075	0.050412	0.003245	-0.057073	0.00334
0.125	0.0908	0.003256	-0.057144	0.003372
0.175	0.135873	0.00334	-0.053735	0.003498
0.225	0.180524	0.003395	-0.050787	0.003616
0.275	0.214356	0.003498	-0.046288	0.00377
0.325	0.265322	0.003637	-0.031588	0.004006
0.375	0.304349	0.003957	-0.020219	0.004445
0.425	0.350504	0.004547	-0.006034	0.005245
0.475	0.385507	0.005846	0.028841	0.006801
0.525	0.40812	0.00814	0.049721	0.009598
0.575	0.411552	0.012744	0.061091	0.01501
0.625	0.413435	0.021639	0.062032	0.025424
0.675	0.40082	0.039511	0.067543	0.044791
0.725	0.371649	0.082835	0.072186	0.094906
0.775	0.597577	0.178211	0.349383	0.195544
0.825	0	0	0	0
0.875	0	0	0	0
0.925	-0.468656	0	-0.560723	0
0.975	0	0	0	0
