yz/yx	v1	rms_v1	v2	rms_v2
-0.975	0	NaN	0	NaN
-0.925	0	NaN	0	NaN
-0.875	0	NaN	0	NaN
-0.825	0	NaN	0	NaN
-0.775	0	NaN	0	NaN
-0.725	0	NaN	0	NaN
-0.675	0	NaN	0	NaN
-0.625	0	NaN	0	NaN
-0.575	0.85344295	0.13673235	0.5726605	0.12121925
-0.525	0.12008009	3.66E-02	0.55569739	4.62E-02
-0.475	0.33110556	1.89E-02	0.15229699	2.04E-02
-0.425	0.15314718	1.46E-02	3.15E-02	1.50E-02
-0.375	2.29E-02	1.39E-02	-6.28E-02	1.40E-02
-0.325	-1.08E-02	1.32E-02	-0.10901201	1.36E-02
-0.275	-3.48E-02	1.29E-02	-7.90E-02	1.30E-02
-0.225	-1.49E-02	1.22E-02	-9.41E-02	1.27E-02
-0.175	3.83E-02	1.23E-02	-6.51E-02	1.22E-02
-0.125	3.91E-02	1.21E-02	-2.38E-02	1.22E-02
-7.50E-02	5.61E-02	1.20E-02	-4.10E-02	1.19E-02
-2.50E-02	2.80E-02	1.21E-02	-2.79E-02	1.20E-02
2.50E-02	-2.09E-02	1.22E-02	1.70E-02	1.19E-02
7.50E-02	-0.10948315	1.20E-02	-4.71E-02	1.19E-02
0.125	-0.13890054	1.20E-02	-4.16E-02	1.17E-02
0.175	-0.16069697	1.18E-02	-6.67E-02	1.19E-02
0.225	-0.10419856	1.20E-02	-5.89E-02	1.22E-02
0.275	-6.96E-02	1.24E-02	-3.55E-02	1.26E-02
0.325	-5.25E-03	1.27E-02	-4.64E-02	1.26E-02
0.375	-3.76E-02	1.31E-02	-9.15E-02	1.34E-02
0.425	-7.98E-02	1.38E-02	-7.60E-02	1.40E-02
0.475	-0.27654975	1.47E-02	-0.21569552	1.59E-02
0.525	-0.32601004	1.94E-02	-8.62E-02	2.16E-02
0.575	-0.70955284	4.28E-02	0.18834544	5.06E-02
0.625	-0.89498103	0.13321598	0.63599372	0.18693137
0.675	-0.98002245	NaN	0.920888	NaN
0.725	0	NaN	0	NaN
0.775	0	NaN	0	NaN
0.825	0	NaN	0	NaN
0.875	0	NaN	0	NaN
0.925	0	NaN	0	NaN
0.975	0	NaN	0	NaN
