yz/yx	v1	rms_v1	v2	rms_v2
-0.975	0	NaN	0	NaN
-0.925	0	NaN	0	NaN
-0.875	0	NaN	0	NaN
-0.825	0	NaN	0	NaN
-0.775	0	NaN	0	NaN
-0.725	0.98764928	NaN	0.95090219	NaN
-0.675	0.95652964	5.74E-02	0.83136792	0.16321169
-0.625	0.70296424	0.16123047	0.48491079	0.17701943
-0.575	0.32839333	4.35E-02	1.13E-02	4.58E-02
-0.525	0.2255078	2.16E-02	-6.92E-02	2.26E-02
-0.475	0.255946	1.43E-02	-2.21E-02	1.49E-02
-0.425	9.89E-02	1.21E-02	-1.42E-02	1.24E-02
-0.375	6.87E-02	1.07E-02	-4.62E-02	1.08E-02
-0.325	1.81E-02	9.71E-03	-5.04E-02	9.82E-03
-0.275	1.66E-02	8.58E-03	-5.00E-02	8.88E-03
-0.225	6.19E-02	8.20E-03	-5.10E-02	8.31E-03
-0.175	8.94E-02	7.95E-03	-2.63E-02	7.68E-03
-0.125	9.49E-02	7.67E-03	-2.17E-02	7.76E-03
-7.50E-02	6.66E-02	7.81E-03	-2.32E-02	7.83E-03
-2.50E-02	2.75E-02	8.16E-03	-1.38E-02	8.10E-03
2.50E-02	-2.38E-02	8.35E-03	-1.53E-02	7.95E-03
7.50E-02	-7.98E-02	8.03E-03	-2.13E-02	8.10E-03
0.125	-0.11708775	7.89E-03	-1.46E-02	8.00E-03
0.175	-0.14149111	7.70E-03	-9.76E-03	7.51E-03
0.225	-0.13528748	7.98E-03	-2.12E-02	8.10E-03
0.275	-0.10127969	8.47E-03	-3.46E-02	8.51E-03
0.325	-5.13E-02	9.25E-03	-4.13E-02	9.27E-03
0.375	-7.08E-02	1.03E-02	-4.99E-02	1.01E-02
0.425	-9.47E-02	1.12E-02	-4.10E-02	1.13E-02
0.475	-0.18019306	1.27E-02	-4.90E-02	1.33E-02
0.525	-0.28904438	1.67E-02	6.28E-02	1.73E-02
0.575	-0.36321001	2.66E-02	-4.56E-02	3.03E-02
0.625	-0.53330393	6.17E-02	0.27167042	7.06E-02
0.675	-0.89541018	0.13729178	0.62755025	0.20890079
0.725	0	NaN	0	NaN
0.775	0	NaN	0	NaN
0.825	0	NaN	0	NaN
0.875	0	NaN	0	NaN
0.925	0	NaN	0	NaN
0.975	0	NaN	0	NaN
