yz/yx	v1	rms_v1	v2	rms_v2
-0.975	0	NaN	0	NaN
-0.925	0	NaN	0	NaN
-0.875	0	NaN	0	NaN
-0.825	0.72499943	NaN	5.12E-02	NaN
-0.775	0.9185762	NaN	0.68756445	NaN
-0.725	0.29848205	0.31110679	-4.64E-02	0.2888007
-0.675	0.43643473	0.1433478	0.18885544	0.16621321
-0.625	9.00E-02	9.06E-02	-3.49E-02	8.65E-02
-0.575	0.28437558	4.22E-02	1.47E-02	4.86E-02
-0.525	0.24004409	2.66E-02	8.86E-03	2.87E-02
-0.475	0.20386031	1.83E-02	1.24E-02	1.93E-02
-0.425	0.18112196	1.46E-02	-1.49E-02	1.47E-02
-0.375	0.13711952	1.21E-02	-2.71E-02	1.31E-02
-0.325	0.14016825	1.13E-02	-2.33E-03	1.17E-02
-0.275	0.12849174	1.07E-02	9.93E-03	1.10E-02
-0.225	0.13760757	9.85E-03	-1.29E-02	1.01E-02
-0.175	0.11800246	9.82E-03	7.70E-03	9.86E-03
-0.125	0.10528692	1.01E-02	2.99E-03	1.02E-02
-7.50E-02	6.69E-02	1.01E-02	-2.46E-02	1.04E-02
-2.50E-02	1.98E-02	1.05E-02	2.63E-03	1.06E-02
2.50E-02	-2.01E-02	1.01E-02	-7.98E-03	1.05E-02
7.50E-02	-5.68E-02	1.03E-02	-6.82E-03	1.04E-02
0.125	-9.42E-02	1.02E-02	-1.84E-03	1.01E-02
0.175	-0.12351387	9.91E-03	4.96E-03	1.02E-02
0.225	-0.14122743	9.88E-03	1.79E-03	1.00E-02
0.275	-0.13023838	1.03E-02	1.84E-02	1.05E-02
0.325	-0.12699524	1.12E-02	1.92E-02	1.10E-02
0.375	-0.14151387	1.19E-02	1.03E-02	1.22E-02
0.425	-0.16649184	1.29E-02	-1.09E-02	1.33E-02
0.475	-0.18767183	1.52E-02	-2.49E-03	1.59E-02
0.525	-0.21246951	2.02E-02	7.06E-03	2.18E-02
0.575	-0.24407819	3.11E-02	-5.98E-03	3.32E-02
0.625	-0.37960328	5.40E-02	0.1056535	5.55E-02
0.675	-0.3042618	0.10607844	2.47E-02	0.11109394
0.725	-0.27933609	0.15216317	-0.38285252	0.19857607
0.775	-0.78672923	3.49E-02	0.24032234	0.10984077
0.825	0	NaN	0	NaN
0.875	0	NaN	0	NaN
0.925	0.99899478	NaN	0.99598114	NaN
0.975	0	NaN	0	NaN
