yz/yx	v1	rms_v1	v2	rms_v2
-0.975	0	NaN	0	NaN
-0.925	0	NaN	0	NaN
-0.875	0	NaN	0	NaN
-0.825	0	NaN	0	NaN
-0.775	0	NaN	0	NaN
-0.725	0	NaN	0	NaN
-0.675	0.97206973	NaN	0.88983914	NaN
-0.625	0.99650074	3.03E-02	0.98629905	0.1135286
-0.575	0.67837648	9.51E-02	0.41182765	9.30E-02
-0.525	0.30074548	2.68E-02	0.20239439	2.87E-02
-0.475	0.18545995	1.61E-02	-3.30E-02	1.65E-02
-0.425	0.1733968	1.43E-02	-6.71E-02	1.43E-02
-0.375	-6.63E-04	1.32E-02	-6.87E-02	1.36E-02
-0.325	-8.26E-02	1.29E-02	-5.84E-02	1.31E-02
-0.275	-6.21E-02	1.22E-02	-0.12370343	1.25E-02
-0.225	-3.60E-02	1.18E-02	-0.11355784	1.20E-02
-0.175	4.07E-02	1.16E-02	-7.99E-02	1.18E-02
-0.125	8.20E-02	1.16E-02	-4.62E-02	1.16E-02
-7.50E-02	8.82E-02	1.16E-02	-6.81E-02	1.17E-02
-2.50E-02	2.65E-02	1.19E-02	-5.76E-02	1.18E-02
2.50E-02	4.97E-03	1.19E-02	-3.21E-02	1.19E-02
7.50E-02	-2.06E-02	1.21E-02	-1.87E-02	1.19E-02
0.125	-0.15543777	1.20E-02	-3.67E-02	1.21E-02
0.175	-0.11123113	1.20E-02	-5.77E-02	1.20E-02
0.225	-8.41E-02	1.21E-02	-5.60E-02	1.21E-02
0.275	-5.18E-02	1.25E-02	-0.11352662	1.27E-02
0.325	5.44E-03	1.28E-02	-0.10351486	1.30E-02
0.375	-1.54E-02	1.32E-02	-4.96E-02	1.35E-02
0.425	-3.12E-02	1.37E-02	-0.12505819	1.40E-02
0.475	-0.26570949	1.50E-02	-8.42E-02	1.53E-02
0.525	-0.35917804	1.91E-02	-0.13739133	2.14E-02
0.575	-0.47579891	4.13E-02	-0.26618309	5.19E-02
0.625	-0.4000238	0.11608402	-0.63351535	0.22022516
0.675	-0.67443792	8.03E-02	-9.03E-02	0.23475863
0.725	0	NaN	0	NaN
0.775	0	NaN	0	NaN
0.825	0	NaN	0	NaN
0.875	0	NaN	0	NaN
0.925	0	NaN	0	NaN
0.975	0	NaN	0	NaN
