yz	v1	rms_v1	v2	rms_v2
-0.975	0	0	0	0
-0.925	0	0	0	0
-0.875	0	0	0	0
-0.825	0	0	0	0
-0.775	0	0	0	0
-0.725	0	0	0	0
-0.675	-0.943	0	0.779	0
-0.625	-0.473	0.185	0.135	0.207
-0.575	-0.252	0.103	-0.007	0.106
-0.525	-0.36	0.044	0.062	0.052
-0.475	-0.299	0.025	0.038	0.027
-0.425	-0.291	0.017	0.078	0.018
-0.375	-0.208	0.013	0.02	0.013
-0.325	-0.196	0.011	-0.003	0.011
-0.275	-0.167	0.009	-0.037	0.01
-0.225	-0.173	0.009	-0.021	0.009
-0.175	-0.144	0.008	-0.033	0.009
-0.125	-0.108	0.008	-0.037	0.008
-0.075	-0.069	0.008	-0.034	0.008
-0.025	-0.028	0.008	-0.049	0.008
0.025	0.036	0.008	-0.024	0.008
0.075	0.082	0.008	-0.031	0.008
0.125	0.122	0.008	-0.018	0.008
0.175	0.17	0.008	-0.015	0.008
0.225	0.2	0.009	-0.023	0.009
0.275	0.219	0.009	-0.003	0.009
0.325	0.231	0.01	0.001	0.01
0.375	0.245	0.011	0.025	0.012
0.425	0.26	0.014	0.035	0.015
0.475	0.316	0.02	0.072	0.022
0.525	0.37	0.033	0.076	0.037
0.575	0.426	0.055	0.065	0.065
0.625	0.285	0.154	0.113	0.16
0.675	0.687	0.181	0.14	0.438
0.725	0.77	0	0.185	0
0.775	0	0	0	0
0.825	0	0	0	0
0.875	0	0	0	0
0.925	0	0	0	0
0.975	0	0	0	0
