yz	v1	rms_v1	v2	rms_v2
-0.975	0	0	0	0
-0.925	0	0	0	0
-0.875	0	0.835	0	0.395
-0.825	0	0.198	0	0.229
-0.775	-0.414	0.129	0.144	0.145
-0.725	-0.265	0.098	0.154	0.088
-0.675	-0.261	0.05	0.004	0.05
-0.625	-0.32	0.031	0.026	0.034
-0.575	-0.275	0.021	0.026	0.022
-0.525	-0.245	0.014	0.017	0.015
-0.475	-0.193	0.011	-0.013	0.011
-0.425	-0.171	0.008	0.001	0.009
-0.375	-0.146	0.007	-0.003	0.007
-0.325	-0.124	0.006	-0.021	0.006
-0.275	-0.092	0.006	-0.015	0.006
-0.225	-0.082	0.005	-0.014	0.006
-0.175	-0.061	0.005	-0.013	0.005
-0.125	-0.043	0.005	-0.026	0.005
-0.075	-0.022	0.005	-0.025	0.005
-0.025	-0.002	0.005	-0.022	0.005
0.025	0.022	0.005	-0.025	0.005
0.075	0.052	0.005	-0.019	0.005
0.125	0.077	0.005	-0.023	0.005
0.175	0.101	0.005	-0.018	0.005
0.225	0.123	0.005	-0.025	0.005
0.275	0.145	0.006	-0.014	0.006
0.325	0.151	0.006	-0.017	0.006
0.375	0.183	0.007	0.012	0.007
0.425	0.195	0.007	0.013	0.008
0.475	0.226	0.009	0.027	0.01
0.525	0.215	0.012	0.01	0.013
0.575	0.261	0.017	0.031	0.018
0.625	0.28	0.026	0.029	0.028
0.675	0.327	0.038	0.023	0.042
0.725	0.209	0.072	0.022	0.067
0.775	0	0.1	0	0.104
0.825	0	0.13	0	0.198
0.875	0	0.45	0	0.379
0.925	0	0.905	0	0.64
0.975	0	0.468	0	0.561
