yz	v1	rms_v1	v2	rms_v2
-0.975	0	0	0	0
-0.925	0	0	0	0
-0.875	0	0	0	0
-0.825	0	0	0	0
-0.775	0	0	0	0
-0.725	0	0	0	0
-0.675	0	0	0	0
-0.625	0	0	0	0
-0.575	0	0	0	0
-0.525	-0.565	0.103	-0.003	0.148
-0.475	-0.339	0.064	0.103	0.068
-0.425	-0.289	0.034	-0.007	0.037
-0.375	-0.207	0.023	0.04	0.024
-0.325	-0.224	0.019	-0.02	0.019
-0.275	-0.215	0.016	-0.028	0.017
-0.225	-0.236	0.015	0.007	0.016
-0.175	-0.195	0.014	-0.023	0.015
-0.125	-0.155	0.013	-0.059	0.014
-0.075	-0.114	0.013	-0.039	0.014
-0.025	-0.056	0.013	-0.047	0.013
0.025	0.04	0.013	-0.062	0.014
0.075	0.101	0.013	-0.034	0.014
0.125	0.167	0.013	-0.043	0.014
0.175	0.226	0.014	-0.012	0.014
0.225	0.242	0.014	-0.044	0.016
0.275	0.256	0.016	-0.01	0.017
0.325	0.244	0.018	0.022	0.019
0.375	0.26	0.021	0.031	0.022
0.425	0.313	0.029	0.077	0.03
0.475	0.274	0.047	-0.006	0.05
0.525	0.452	0.083	0.068	0.103
0.575	0.833	0.047	0.397	0.156
0.625	0	0	0	0
0.675	0	0	0	0
0.725	0	0	0	0
0.775	0	0	0	0
0.825	0	0	0	0
0.875	0	0	0	0
0.925	0	0	0	0
0.975	0	0	0	0
