yz/yx	v1	rms_v1	v2	rms_v2
-0.975000024	0	0	0	0
-0.925000012	0	0	0	0
-0.875	0	0	0	0
-0.824999988	0	0	0	0
-0.774999976	0.37065959	0	-0.725222945	0
-0.725000024	-0.287960589	0.319457173	0.017017975	0.425721526
-0.674999952	-0.191235349	0.50751406	0.047381874	0.524503946
-0.625	-0.349565327	0.194284633	0.112200946	0.220101744
-0.574999988	-0.45490852	0.133328944	0.159025267	0.157689914
-0.524999976	-0.526452601	0.051180515	0.185418755	0.049224351
-0.475000024	-0.508253634	0.02329465	0.104183935	0.033948362
-0.425000012	-0.448484689	0.027815964	0.069011807	0.024981402
-0.375	-0.415779471	0.014032777	0.065840453	0.024406996
-0.324999988	-0.376196921	0.012501931	0.052562311	0.025655393
-0.275000036	-0.330063432	0.019554505	0.037317149	0.024587113
-0.225000024	-0.275922805	0.024340557	0.022413977	0.017113287
-0.175000012	-0.205927357	0.024788391	-0.013950204	0.029371338
-0.125	-0.146174088	0.02102083	-0.028006464	0.012473589
-0.074999988	-0.080420248	0.026275121	-0.038734406	0.031995956
-0.025000036	-0.011569903	0.025142122	-0.045630954	0.023141652
0.024999976	0.029121434	0.022968127	-0.045797542	0.026310317
0.075000048	0.072353438	0.023286272	-0.048746191	0.016539613
0.125	0.12356922	0.030410364	-0.042948425	0.027293377
0.174999952	0.159989625	0.017910881	-0.047512475	0.020309597
0.225000024	0.181079	0.022564359	-0.028220132	0.022277042
0.274999976	0.215898782	0.019972211	-0.040118769	0.029110763
0.325000048	0.27673474	0.041149102	-0.033159964	0.032322541
0.375	0.330226928	0.038647063	0.002343378	0.043231163
0.424999952	0.357762128	0.052669201	0.031524308	0.070443109
0.475000024	0.359523922	0.076261811	-0.005210598	0.046791349
0.524999976	0.36297074	0.109306589	0.102619059	0.11753007
0.575000048	0.292120874	0.176070482	0.106683768	0.125221968
0.625	0.379873425	0.331249923	0.224034712	0.262140602
0.674999952	0.275196642	0.347855002	-0.322834164	0.497842908
0.725000024	0.289098918	0.871480048	0.686111271	0.285320908
0.774999976	0	0	0	0
0.825000048	0	0	0	0
0.875	0	0	0	0
0.924999952	0	0	0	0
0.975000024	0	0	0	0
