yz/yx	v1	rms_v1	v2	rms_v2
-0.97499996	0	0	0	0
-0.92499995	0	0	0	0
-0.87499994	0	0	0	0
-0.82499993	0	0	0	0
-0.77499992	0	0	0	0
-0.7249999	0	0	0	0
-0.67499989	-0.312805	0.04700461	-0.72918534	0.085313745
-0.62499988	-0.66226536	0.032173652	0.098711617	0.060349859
-0.57499987	-0.58398843	0.016082523	-0.077372767	0.029951289
-0.52499986	-0.48127797	0.010523212	0.092913128	0.013437066
-0.47499985	-0.39065605	0.005081673	0.06474214	0.005707308
-0.42499983	-0.36257061	0.003004532	0.03600527	0.003416535
-0.37499982	-0.3484726	0.002131918	0.035999563	0.002384602
-0.32499981	-0.32220882	0.00180038	0.03459467	0.001977896
-0.2749998	-0.29163533	0.001712848	0.032325406	0.001847084
-0.2249998	-0.24652615	0.001674159	0.012775782	0.001766391
-0.1749998	-0.20637897	0.001684765	0.006966051	0.001757692
-0.12499981	-0.15709735	0.001666039	-0.007368297	0.001723405
-0.074999809	-0.10368972	0.001647084	-0.019193552	0.001675714
-0.024999812	-0.050242107	0.001627668	-0.0232036	0.001649708
0.025000185	0.014560379	0.001623485	-0.027191112	0.001639897
0.075000182	0.077763967	0.001634702	-0.016906075	0.001655801
0.12500018	0.12561995	0.001647714	-0.014190275	0.001689354
0.17500018	0.17552686	0.001650874	-0.004457101	0.001704058
0.22500017	0.22604364	0.001647585	0.017213251	0.001727172
0.27500015	0.27052885	0.001646338	0.013475418	0.001769549
0.32500017	0.29647881	0.00174934	0.020669108	0.001904897
0.37500018	0.3358911	0.002040547	0.035635684	0.002267602
0.42500019	0.34503642	0.002863612	0.039152294	0.003207512
0.4750002	0.4117583	0.004790288	0.071094789	0.005625815
0.52500021	0.50672156	0.00927067	0.13199599	0.011709898
0.57500023	0.46365425	0.022003109	0.067074515	0.028926283
0.62500024	0.84795469	0.036713533	0.54858083	0.075242616
0.67500025	0.96959573	0	0.8802318	0
0.72500026	0	0	0	0
0.77500027	0	0	0	0
0.82500029	0	0	0	0
0.8750003	0	0	0	0
0.92500031	0	0	0	0
0.97500032	0	0	0	0
