yz/yx	v1	rms_v1	v2	rms_v2
-0.97499996	-0.35807088	0.1411209	0.053033788	0.076170966
-0.92499995	-0.27265432	0.22002466	-0.27038908	0.24385737
-0.87499994	-0.24202104	0.1000527	0.058139406	0.12036794
-0.82499993	-0.44512406	0.061442126	0.05314428	0.076142997
-0.77499992	-0.29389748	0.031540811	0.008402506	0.03319205
-0.7249999	-0.31133825	0.019009093	0.048806798	0.020237053
-0.67499989	-0.44740129	0.010741363	0.088904992	0.012934843
-0.62499988	-0.38510445	0.006736719	0.020203419	0.007817861
-0.57499987	-0.39240366	0.004376928	0.065295465	0.004991077
-0.52499986	-0.37773728	0.002818717	0.057561819	0.00321194
-0.47499985	-0.32070091	0.001899844	0.025972027	0.00210078
-0.42499983	-0.29930317	0.001388885	0.019522024	0.001518402
-0.37499982	-0.27444088	0.001121898	0.011908551	0.001206131
-0.32499981	-0.25282493	1.00E-03	0.013056688	0.001062256
-0.2749998	-0.2170264	9.37E-04	0.005063489	9.84E-04
-0.2249998	-0.18208814	9.15E-04	0.003781348	9.44E-04
-0.1749998	-0.1441112	9.00E-04	-0.001184247	9.17E-04
-0.12499981	-0.10650842	8.88E-04	-0.004390549	9.00E-04
-0.074999809	-0.071155638	8.71E-04	-0.005196209	8.78E-04
-0.024999812	-0.032565668	8.58E-04	-0.014324726	8.63E-04
0.025000185	0.008964021	8.57E-04	-0.016100291	8.65E-04
0.075000182	0.055547107	8.65E-04	-0.014578305	8.77E-04
0.12500018	0.091608196	8.75E-04	-0.009164091	8.85E-04
0.17500018	0.12893501	8.90E-04	-0.002105518	9.06E-04
0.22500017	0.17032328	9.00E-04	0.003236851	9.25E-04
0.27500015	0.20195028	9.29E-04	0.008909409	9.67E-04
0.32500017	0.23510297	9.82E-04	0.009734708	0.001036316
0.37500018	0.26589164	0.00111374	0.023901159	0.001182573
0.42500019	0.29384321	0.001364441	0.022311812	0.00147928
0.4750002	0.30906531	0.001868534	0.025226608	0.002048847
0.52500021	0.36981902	0.002680448	0.03486228	0.00309299
0.57500023	0.38212708	0.004042501	0.023567241	0.004748213
0.62500024	0.364474	0.006281253	0.047505584	0.007121029
0.67500025	0.39408553	0.010092796	0.071534865	0.011703981
0.72500026	0.37480447	0.017066848	0.067405455	0.019103106
0.77500027	0.30168143	0.029357553	0.01630961	0.031269044
0.82500029	0.20658314	0.050770119	0.054532662	0.050209902
0.8750003	0.14615065	0.12044411	-0.086872861	0.092813112
0.92500031	0.72317165	0.044094019	0.11206006	0.12396511
0.97500032	0.70035344	0	-0.019009978	0
