yz/yx	v1	rms_v1	v2	rms_v2
-0.97499996	0	0	0	0
-0.92499995	0	0	0	0
-0.87499994	0	0	0	0
-0.82499993	0	0	0	0
-0.77499992	0	0	0	0
-0.7249999	0	0	0	0
-0.67499989	0	0	0	0
-0.62499988	0	0	0	0
-0.57499987	-0.1542325	0.12095989	-0.68906134	0.1488737
-0.52499986	-0.60006118	0.040415455	0.17423449	0.066817485
-0.47499985	-0.43195426	0.013173074	0.13114747	0.014883704
-0.42499983	-0.35849831	0.006190602	0.049419932	0.006883517
-0.37499982	-0.38740158	0.003820161	0.031300634	0.004449459
-0.32499981	-0.36440113	0.003196503	0.046039816	0.00360891
-0.2749998	-0.32761323	0.003053066	0.029241575	0.003374847
-0.2249998	-0.28375247	0.003173611	0.025756137	0.00340784
-0.1749998	-0.24222603	0.003279516	0.018720789	0.003459957
-0.12499981	-0.19097716	0.003325034	-0.026003463	0.003499362
-0.074999809	-0.1315134	0.003423825	-0.011542093	0.003506836
-0.024999812	-0.067782708	0.003373822	-0.021325979	0.003415565
0.025000185	0.010413019	0.003389968	-0.027224934	0.003436846
0.075000182	0.090327315	0.003385598	-0.007852566	0.003425583
0.12500018	0.15410411	0.003332408	-0.031637605	0.003453957
0.17500018	0.20271987	0.00322747	-0.001381033	0.003358575
0.22500017	0.24565147	0.003067588	0.002434417	0.003268138
0.27500015	0.30229348	0.002928449	0.023449497	0.003199647
0.32500017	0.32922682	0.003003852	0.012403657	0.003368692
0.37500018	0.3507233	0.003580657	0.02484452	0.004074815
0.42500019	0.33963907	0.0056601	0.076991789	0.006145156
0.4750002	0.45574304	0.011834932	0.14654616	0.013556839
0.52500021	0.46789765	0.027563436	0.19911896	0.030537033
0.57500023	0.59121174	0.10989495	0.18213856	0.17410843
0.62500024	0	0	0	0
0.67500025	0	0	0	0
0.72500026	0	0	0	0
0.77500027	0	0	0	0
0.82500029	0	0	0	0
0.8750003	0	0	0	0
0.92500031	0	0	0	0
0.97500032	0	0	0	0
