yz	v1	rms_v1	v2	rms_v2
-0.975	0	0	0	0
-0.925	0	0	0	0
-0.875	0	0	0	0
-0.825	0	0	0	0
-0.775	0	0	0	0
-0.725	0.678021	0.174349	0.041015	0.472849
-0.675	0.675046	0.083714	0.275793	0.113884
-0.625	0.551996	0.029602	0.142185	0.040308
-0.575	0.519176	0.012576	0.109365	0.016595
-0.525	0.461011	0.006751	0.071078	0.008311
-0.475	0.437646	0.004292	0.058409	0.005203
-0.425	0.394475	0.003198	0.03247	0.003776
-0.375	0.356065	0.002699	0.015489	0.003103
-0.325	0.311969	0.002468	0.000453	0.00275
-0.275	0.266771	0.002359	-0.001853	0.002545
-0.225	0.226043	0.002332	-0.008104	0.002473
-0.175	0.170956	0.002357	-0.021831	0.002454
-0.125	0.119723	0.002402	-0.031217	0.002475
-0.075	0.064287	0.002429	-0.036934	0.002487
-0.025	0.017995	0.002435	-0.040463	0.002482
0.025	-0.031864	0.002418	-0.039345	0.002464
0.075	-0.075506	0.002397	-0.035572	0.002444
0.125	-0.128448	0.002339	-0.030196	0.002421
0.175	-0.179016	0.002305	-0.019949	0.002413
0.225	-0.224783	0.002288	-0.013419	0.00243
0.275	-0.267104	0.002344	-0.011625	0.002551
0.325	-0.301104	0.00255	-0.003075	0.002822
0.375	-0.349041	0.002891	0.007524	0.003306
0.425	-0.386455	0.00372	0.035189	0.004339
0.475	-0.42786	0.005481	0.06039	0.006526
0.525	-0.47303	0.00952	0.071091	0.012032
0.575	-0.495677	0.020958	0.077313	0.026666
0.625	-0.688388	0.052868	0.35024	0.071956
0.675	-0.169786	0.41821	0.456848	0.363912
0.725	-0.714012	0.189511	0.163283	0.541252
0.775	0	0	0	0
0.825	0	0	0	0
0.875	0	0	0	0
0.925	0	0	0	0
0.975	0	0	0	0
