yz	v1	rms_v1	v2	rms_v2
-0.975	0	0	0	0
-0.925	0.857141	0.07142	0.510186	0.226899
-0.875	0.320858	0.182431	0.204336	0.164504
-0.825	0.237466	0.111077	0.075151	0.108916
-0.775	0.347032	0.056576	0.041064	0.063141
-0.725	0.403846	0.02808	0.079961	0.03143
-0.675	0.390668	0.015206	0.078441	0.017153
-0.625	0.396791	0.008278	0.060937	0.009536
-0.575	0.384836	0.005091	0.043162	0.005904
-0.525	0.350961	0.003556	0.035153	0.003996
-0.475	0.325942	0.00275	0.027314	0.003046
-0.425	0.292483	0.002316	0.016727	0.00252
-0.375	0.264104	0.002069	0.009993	0.002216
-0.325	0.240472	0.001907	0.004016	0.002025
-0.275	0.214162	0.001831	0.001321	0.001916
-0.225	0.187608	0.001792	-0.000948	0.001859
-0.175	0.148033	0.001789	-0.005718	0.001835
-0.125	0.105909	0.001806	-0.011301	0.001836
-0.075	0.064116	0.001818	-0.018468	0.001842
-0.025	0.022085	0.00183	-0.01948	0.001848
0.025	-0.021889	0.001826	-0.019754	0.001843
0.075	-0.068994	0.001814	-0.018403	0.001839
0.125	-0.108128	0.001796	-0.013158	0.001828
0.175	-0.14363	0.001802	-0.005679	0.001844
0.225	-0.172703	0.001831	-0.004986	0.001896
0.275	-0.196845	0.001912	-0.005101	0.001996
0.325	-0.216953	0.002052	0.000302	0.002161
0.375	-0.244715	0.002269	0.002608	0.002421
0.425	-0.280207	0.002637	0.012414	0.00285
0.475	-0.311074	0.003284	0.022235	0.003611
0.525	-0.347211	0.004481	0.027669	0.005076
0.575	-0.370016	0.00705	0.044605	0.008047
0.625	-0.366869	0.012462	0.037585	0.014127
0.675	-0.385438	0.022575	0.06056	0.025673
0.725	-0.40867	0.041596	0.084949	0.049096
0.775	-0.330215	0.072366	0.02455	0.073105
0.825	-0.312169	0.162335	0.038183	0.178498
0.875	-0.560154	0.166037	0.17891	0.232322
0.925	0.996888	0	0.987572	0
0.975	0.726933	0	0.056862	0
