yz	v1	rms_v1	v2	rms_v2
-0.975	0	0	0	0
-0.925	0	0	0	0
-0.875	0	0	0	0
-0.825	0	0	0	0
-0.775	0	0	0	0
-0.725	0	0	0	0
-0.675	0.999338	0	0.997351	0
-0.625	0.872645	0.046636	0.570865	0.14609
-0.575	0.608001	0.035911	0.226811	0.047857
-0.525	0.593259	0.013991	0.166645	0.019988
-0.475	0.54517	0.007668	0.126061	0.010332
-0.425	0.503427	0.005164	0.077378	0.006796
-0.375	0.454105	0.004208	0.057619	0.005221
-0.325	0.410782	0.003833	0.027642	0.004598
-0.275	0.357129	0.003822	0.013933	0.004378
-0.225	0.293168	0.004086	-0.005823	0.004507
-0.175	0.212449	0.004503	-0.025149	0.004785
-0.125	0.141039	0.004854	-0.043396	0.005061
-0.075	0.083125	0.005167	-0.052311	0.005335
-0.025	0.024313	0.005212	-0.067056	0.005374
0.025	-0.038189	0.005142	-0.061241	0.005308
0.075	-0.102753	0.004945	-0.051812	0.005134
0.125	-0.170228	0.004519	-0.038957	0.004749
0.175	-0.248009	0.004029	-0.02273	0.004349
0.225	-0.309203	0.003681	-0.005051	0.004102
0.275	-0.351491	0.003544	-0.000714	0.004097
0.325	-0.407499	0.003685	0.024549	0.004425
0.375	-0.441206	0.004364	0.043574	0.005372
0.425	-0.479617	0.005968	0.076335	0.007524
0.475	-0.531791	0.009733	0.09952	0.013066
0.525	-0.578909	0.020921	0.171844	0.029163
0.575	-0.701885	0.060649	0.308971	0.093016
0.625	-0.831275	0.079513	0.407325	0.264389
0.675	0	0	0	0
0.725	0	0	0	0
0.775	0	0	0	0
0.825	0	0	0	0
0.875	0	0	0	0
0.925	0	0	0	0
0.975	0	0	0	0
